Категория,Название товара,Цена,Ссылка
Жесткие диски и SSD,SSD AMD Radeon R5 R5SL256G 256 ГБ,9000.0,https://kaspi.kz/shop/p/ssd-amd-radeon-r5-r5sl256g-256-gb-104030609/?c=351010000
Жесткие диски и SSD,SSD Kingston SNV2S/2000G 2000 Гб,63857.0,https://kaspi.kz/shop/p/ssd-kingston-snv2s-2000g-2000-gb-107849429/?c=351010000
Жесткие диски и SSD,Patriot Memory P300P512GM28 512Gb,16457.0,https://kaspi.kz/shop/p/patriot-memory-p300p512gm28-512gb-101079222/?c=351010000
Жесткие диски и SSD,SSD Kingston KC600 SKC600 1024 Гб,39000.0,https://kaspi.kz/shop/p/ssd-kingston-kc600-skc600-1024-gb-100474657/?c=351010000
Жесткие диски и SSD,SSD Samsung 990 Pro MZ-V9P1T0B 1000 ГБ,65699.0,https://kaspi.kz/shop/p/ssd-samsung-990-pro-mz-v9p1t0b-1000-gb-107918691/?c=351010000
Жесткие диски и SSD,SSD Hiksemi HS-SSD-WAVE(S) 128 Гб,4894.0,https://kaspi.kz/shop/p/ssd-hiksemi-hs-ssd-wave-s-128-gb-132114578/?c=351010000
Жесткие диски и SSD,HDD Western Digital WD20PURX 2000 Гб,28999.0,https://kaspi.kz/shop/p/hdd-western-digital-wd20purx-2000-gb-6800078/?c=351010000
Жесткие диски и SSD,HDD Western Digital Purple WD40PURZ 4000 Гб,42999.0,https://kaspi.kz/shop/p/hdd-western-digital-purple-wd40purz-4000-gb-6800700/?c=351010000
Жесткие диски и SSD,SSD Samsung 870 EVO MZ-77E500BW 500 ГБ,31175.0,https://kaspi.kz/shop/p/ssd-samsung-870-evo-mz-77e500bw-500-gb-101101229/?c=351010000
Жесткие диски и SSD,HDD Western Digital WD10EZEX 1000 ГБ,22000.0,https://kaspi.kz/shop/p/hdd-western-digital-wd10ezex-1000-gb-6800068/?c=351010000
Жесткие диски и SSD,"SSD Hiksemi Wave(S), HS-SSD-WAVE(S) 256 Гб",7782.0,https://kaspi.kz/shop/p/ssd-hiksemi-wave-s-hs-ssd-wave-s-256-gb-132114309/?c=351010000
Жесткие диски и SSD,SSD Patriot PBE240GS25SSDR 240 ГБ,8490.0,https://kaspi.kz/shop/p/ssd-patriot-pbe240gs25ssdr-240-gb-101078795/?c=351010000
Жесткие диски и SSD,SSD Patriot P210S256G25 256 ГБ,8680.0,https://kaspi.kz/shop/p/ssd-patriot-p210s256g25-256-gb-100493432/?c=351010000
Жесткие диски и SSD,HDD Seagate ST2000DM008 2000 ГБ,29898.0,https://kaspi.kz/shop/p/hdd-seagate-st2000dm008-2000-gb-6801059/?c=351010000
Жесткие диски и SSD,SSD AMD R5SL128G 128 Гб,4985.0,https://kaspi.kz/shop/p/ssd-amd-r5sl128g-128-gb-102560700/?c=351010000
Жесткие диски и SSD,SSD Hikvision E1000 HS-SSD-E1000 256 Гб,9416.0,https://kaspi.kz/shop/p/ssd-hikvision-e1000-hs-ssd-e1000-256-gb-102111983/?c=351010000
Жесткие диски и SSD,SSD Kingston SA400S37 120 ГБ,8877.0,https://kaspi.kz/shop/p/ssd-kingston-sa400s37-120-gb-6800653/?c=351010000
Жесткие диски и SSD,Kingston Fury Renegade SFYRS/500G 500Gb,33790.0,https://kaspi.kz/shop/p/kingston-fury-renegade-sfyrs-500g-500gb-102994058/?c=351010000
Жесткие диски и SSD,SSD Hikvision E1000 HS-SSD-E1000 512 Гб,16590.0,https://kaspi.kz/shop/p/ssd-hikvision-e1000-hs-ssd-e1000-512-gb-102112123/?c=351010000
Жесткие диски и SSD,Apacer AS340X AP240GAS340XC-1 240GB,9490.0,https://kaspi.kz/shop/p/apacer-as340x-ap240gas340xc-1-240gb-101162961/?c=351010000
Жесткие диски и SSD,Western Digital WD5000PURX 500Gb,9999.0,https://kaspi.kz/shop/p/western-digital-wd5000purx-500gb-101174876/?c=351010000
Жесткие диски и SSD,HDD Western Digital Blue WD5000AAKX 500 ГБ,9788.0,https://kaspi.kz/shop/p/hdd-western-digital-blue-wd5000aakx-500-gb-6800117/?c=351010000
Жесткие диски и SSD,SSD Kingston SNV3S/2000G 2000 Гб,68668.0,https://kaspi.kz/shop/p/ssd-kingston-snv3s-2000g-2000-gb-123793485/?c=351010000
Жесткие диски и SSD,SSD GIGABYTE GP-GSTFS31100TNTD 1000 Гб,33482.0,https://kaspi.kz/shop/p/ssd-gigabyte-gp-gstfs31100tntd-1000-gb-100891650/?c=351010000
Жесткие диски и SSD,SSD Apacer AP256GAS350XR-1 256 ГБ,10489.0,https://kaspi.kz/shop/p/ssd-apacer-ap256gas350xr-1-256-gb-101134396/?c=351010000
Жесткие диски и SSD,HDD Seagate ST2000VX008 2000 Гб,29898.0,https://kaspi.kz/shop/p/hdd-seagate-st2000vx008-2000-gb-6800507/?c=351010000
Жесткие диски и SSD,SSD Samsung 990 PRO MZ-V9P2T0BW 2000 ГБ,106842.0,https://kaspi.kz/shop/p/ssd-samsung-990-pro-mz-v9p2t0bw-2000-gb-109028985/?c=351010000
Жесткие диски и SSD,HDD Western Digital Purple WD60PURX 6000 Гб,70000.0,https://kaspi.kz/shop/p/hdd-western-digital-purple-wd60purx-6000-gb-6800709/?c=351010000
Жесткие диски и SSD,HDD Seagate ST1000DM010 1000 ГБ,22049.0,https://kaspi.kz/shop/p/hdd-seagate-st1000dm010-1000-gb-6800526/?c=351010000
Жесткие диски и SSD,SSD Kingston SFYRD/2000G 2000 Гб,105906.0,https://kaspi.kz/shop/p/ssd-kingston-sfyrd-2000g-2000-gb-103190069/?c=351010000
Жесткие диски и SSD,SSD Netac NT01SA500-480G-S3X 480 Гб,13415.0,https://kaspi.kz/shop/p/ssd-netac-nt01sa500-480g-s3x-480-gb-107416648/?c=351010000
Жесткие диски и SSD,SSD Patriot P300P1TBM28 1000 Гб,29511.0,https://kaspi.kz/shop/p/ssd-patriot-p300p1tbm28-1000-gb-101679735/?c=351010000
Жесткие диски и SSD,SSD Kingston KC600 256 Гб,16000.0,https://kaspi.kz/shop/p/ssd-kingston-kc600-256-gb-100426600/?c=351010000
Жесткие диски и SSD,HDD OEM T100221251 500 Гб,7999.0,https://kaspi.kz/shop/p/hdd-oem-t100221251-500-gb-129128528/?c=351010000
Жесткие диски и SSD,SSD Patriot P210S2TB25 2000 ГБ,52373.0,https://kaspi.kz/shop/p/ssd-patriot-p210s2tb25-2000-gb-104908625/?c=351010000
Жесткие диски и SSD,SSD Patriot P210S2TB25 2000 ГБ,52373.0,https://kaspi.kz/shop/p/ssd-patriot-p210s2tb25-2000-gb-104908625/?c=351010000
Жесткие диски и SSD,"SSD Wave(S), HS-SSD-WAVE(S) 240G 240 Гб",7690.0,https://kaspi.kz/shop/p/ssd-wave-s-hs-ssd-wave-s-240g-240-gb-132114359/?c=351010000
Жесткие диски и SSD,SSD Samsung 870 EVO MZ-77E1T0BW 1024 ГБ,52791.0,https://kaspi.kz/shop/p/ssd-samsung-870-evo-mz-77e1t0bw-1024-gb-101146182/?c=351010000
Жесткие диски и SSD,Kingston SFYRD/4000G 4TB,253250.0,https://kaspi.kz/shop/p/kingston-sfyrd-4000g-4tb-103190032/?c=351010000
Жесткие диски и SSD,SSD Hiksemi HS-SSD-WAVE(P) 256 Гб,8864.0,https://kaspi.kz/shop/p/ssd-hiksemi-hs-ssd-wave-p-256-gb-132114300/?c=351010000
Жесткие диски и SSD,HDD Western Digital WD10PURX 1000 Гб,19892.0,https://kaspi.kz/shop/p/hdd-western-digital-wd10purx-1000-gb-6800932/?c=351010000
Жесткие диски и SSD,SSD Western Digital Black SN770 WDS100T3X0E 1000 Гб,56786.0,https://kaspi.kz/shop/p/ssd-western-digital-black-sn770-wds100t3x0e-1000-gb-104654365/?c=351010000
Жесткие диски и SSD,Apacer AS2280P4 512Gb,18490.0,https://kaspi.kz/shop/p/apacer-as2280p4-512gb-100415609/?c=351010000
Жесткие диски и SSD,SSD Apacer AP512GAS350XR 512 ГБ,20499.0,https://kaspi.kz/shop/p/ssd-apacer-ap512gas350xr-512-gb-101079415/?c=351010000
Жесткие диски и SSD,Patriot Memory P300P128GM28 128 GB,8080.0,https://kaspi.kz/shop/p/patriot-memory-p300p128gm28-128-gb-101078781/?c=351010000
Жесткие диски и SSD,SSD KingSpec P4-120 120 Гб,8950.0,https://kaspi.kz/shop/p/ssd-kingspec-p4-120-120-gb-101599604/?c=351010000
Жесткие диски и SSD,SSD Apacer AS2280P4 256 Гб,10490.0,https://kaspi.kz/shop/p/ssd-apacer-as2280p4-256-gb-100403901/?c=351010000
Жесткие диски и SSD,SSD Hikvision HS-SSD-E3000/512G 512 ГБ,17657.0,https://kaspi.kz/shop/p/ssd-hikvision-hs-ssd-e3000-512g-512-gb-103435573/?c=351010000
Жесткие диски и SSD,Kimtigo KTA-320 KTA-320-256G 256GB,8900.0,https://kaspi.kz/shop/p/kimtigo-kta-320-kta-320-256g-256gb-101057904/?c=351010000
Жесткие диски и SSD,SSD GIGABYTE GP-GSM2NE3256GNTD 256 ГБ,13290.0,https://kaspi.kz/shop/p/ssd-gigabyte-gp-gsm2ne3256gntd-256-gb-100381112/?c=351010000
Жесткие диски и SSD,"SSD Hiksemi Wave(P), HS-SSD-WAVE(P) 128G 128 Гб",6550.0,https://kaspi.kz/shop/p/ssd-hiksemi-wave-p-hs-ssd-wave-p-128g-128-gb-132114440/?c=351010000
Жесткие диски и SSD,SSD Samsung MZ-V8V500BW 500 Гб,31387.0,https://kaspi.kz/shop/p/ssd-samsung-mz-v8v500bw-500-gb-101507516/?c=351010000
Жесткие диски и SSD,SSD Kingston SKC3000S/512G 512 ГБ,32183.0,https://kaspi.kz/shop/p/ssd-kingston-skc3000s-512g-512-gb-103077156/?c=351010000
Жесткие диски и SSD,SSD AMD Radeon R5 R5SL120G 120 Гб,5630.0,https://kaspi.kz/shop/p/ssd-amd-radeon-r5-r5sl120g-120-gb-100568701/?c=351010000
Жесткие диски и SSD,SSD Kingston SKC600/256G 256 ГБ,16000.0,https://kaspi.kz/shop/p/ssd-kingston-skc600-256g-256-gb-104463600/?c=351010000
Жесткие диски и SSD,SSD Patriot P210S1TB25 1024 Гб,28768.0,https://kaspi.kz/shop/p/ssd-patriot-p210s1tb25-1024-gb-101231000/?c=351010000
Жесткие диски и SSD,SSD Patriot Burst Elite PBE120GS25SSDR 120 Гб,5990.0,https://kaspi.kz/shop/p/ssd-patriot-burst-elite-pbe120gs25ssdr-120-gb-102112213/?c=351010000
Жесткие диски и SSD,Western Digital Purple WD82PURX 8000Gb,84559.0,https://kaspi.kz/shop/p/western-digital-purple-wd82purx-8000gb-101079230/?c=351010000
Жесткие диски и SSD,AMD Radeon R5 R5SL480G 480Gb,14290.0,https://kaspi.kz/shop/p/amd-radeon-r5-r5sl480g-480gb-100070691/?c=351010000
Жесткие диски и SSD,Apacer AS340X AP480GAS340XC-1 480GB,15990.0,https://kaspi.kz/shop/p/apacer-as340x-ap480gas340xc-1-480gb-101162988/?c=351010000
Жесткие диски и SSD,HDD Seagate ST1000VX005 1000 Гб,21498.0,https://kaspi.kz/shop/p/hdd-seagate-st1000vx005-1000-gb-6800561/?c=351010000
Жесткие диски и SSD,SSD Hiksemi HS-SSD-WAVE(S) 120 Гб,4950.0,https://kaspi.kz/shop/p/ssd-hiksemi-hs-ssd-wave-s-120-gb-132114455/?c=351010000
Жесткие диски и SSD,SSD Netac N600S NT01N600S-256G-S3X 256 Гб,8990.0,https://kaspi.kz/shop/p/ssd-netac-n600s-nt01n600s-256g-s3x-256-gb-100677412/?c=351010000
Жесткие диски и SSD,SSD Kingston SFYRSK/1000G 1000 ГБ,61199.0,https://kaspi.kz/shop/p/ssd-kingston-sfyrsk-1000g-1000-gb-109098489/?c=351010000
Жесткие диски и SSD,SSD Samsung 990 PRO MZ-V9P2T0CW 2000 Гб,115127.0,https://kaspi.kz/shop/p/ssd-samsung-990-pro-mz-v9p2t0cw-2000-gb-112055444/?c=351010000
Жесткие диски и SSD,SSD Netac SA500 256 Гб,8380.0,https://kaspi.kz/shop/p/ssd-netac-sa500-256-gb-112481468/?c=351010000
Жесткие диски и SSD,SSD MCPoint MCM2 NVME 256 Гб,9500.0,https://kaspi.kz/shop/p/ssd-mcpoint-mcm2-nvme-256-gb-121200700/?c=351010000
Жесткие диски и SSD,SSD GIGABYTE GP-GSTFS31240GNTD 240 ГБ,11390.0,https://kaspi.kz/shop/p/ssd-gigabyte-gp-gstfs31240gntd-240-gb-6801247/?c=351010000
Жесткие диски и SSD,ADATA SU650 ASU650SS-256GT-R 256GB,11520.0,https://kaspi.kz/shop/p/adata-su650-asu650ss-256gt-r-256gb-101416235/?c=351010000
Жесткие диски и SSD,HDD Seagate ST4000DM004 4000 Гб,43899.0,https://kaspi.kz/shop/p/hdd-seagate-st4000dm004-4000-gb-6800691/?c=351010000
Жесткие диски и SSD,SSD BILLION RESERVOIR J-11 256 Гб,8800.0,https://kaspi.kz/shop/p/ssd-billion-reservoir-j-11-256-gb-113606962/?c=351010000
Жесткие диски и SSD,Kingston KC600 SKC600B/1024G 1024Gb,39000.0,https://kaspi.kz/shop/p/kingston-kc600-skc600b-1024g-1024gb-100567516/?c=351010000
Жесткие диски и SSD,SSD Patriot P220S512G25 512 ГБ,14776.0,https://kaspi.kz/shop/p/ssd-patriot-p220s512g25-512-gb-109809229/?c=351010000
Жесткие диски и SSD,SSD AMD R5SL240G 240 Гб,8957.0,https://kaspi.kz/shop/p/ssd-amd-r5sl240g-240-gb-102038191/?c=351010000
Жесткие диски и SSD,SSD Western Digital Blue SN580 WDS100T3B0E 1000 Гб,37118.0,https://kaspi.kz/shop/p/ssd-western-digital-blue-sn580-wds100t3b0e-1000-gb-121564434/?c=351010000
Жесткие диски и SSD,SSD Patriot P220S256G25 256 ГБ,8957.0,https://kaspi.kz/shop/p/ssd-patriot-p220s256g25-256-gb-109828533/?c=351010000
Жесткие диски и SSD,HDD KESU SJ/T 11655-2016 500 Гб,11798.0,https://kaspi.kz/shop/p/hdd-kesu-sj-t-11655-2016-500-gb-132869518/?c=351010000
Жесткие диски и SSD,HDD Western Digital WD10SPZX 1000 Гб,50990.0,https://kaspi.kz/shop/p/hdd-western-digital-wd10spzx-1000-gb-6800719/?c=351010000
Жесткие диски и SSD,SSD GIGABYTE GP-GSTFS31256GTND 256 ГБ,12890.0,https://kaspi.kz/shop/p/ssd-gigabyte-gp-gstfs31256gtnd-256-gb-6801204/?c=351010000
Жесткие диски и SSD,Western Digital WD40PURX 4000Gb,43898.0,https://kaspi.kz/shop/p/western-digital-wd40purx-4000gb-6800121/?c=351010000
Жесткие диски и SSD,HDD Seagate ST500DM009 500 ГБ,10899.0,https://kaspi.kz/shop/p/hdd-seagate-st500dm009-500-gb-6800528/?c=351010000
Жесткие диски и SSD,SSD Kingston SNV2S/250G 250 Гб,20054.0,https://kaspi.kz/shop/p/ssd-kingston-snv2s-250g-250-gb-108063708/?c=351010000
Жесткие диски и SSD,SSD Transcend TS250GSSD225S 250 Гб,13868.0,https://kaspi.kz/shop/p/ssd-transcend-ts250gssd225s-250-gb-109720001/?c=351010000
Жесткие диски и SSD,SSD Silicon Power Ace A55 SP128GBSS3A55S25 128 Гб,5570.0,https://kaspi.kz/shop/p/ssd-silicon-power-ace-a55-sp128gbss3a55s25-128-gb-113680447/?c=351010000
Жесткие диски и SSD,SSD Samsung 980 PRO MZ-V8P2T0BW 2000 Гб,94000.0,https://kaspi.kz/shop/p/ssd-samsung-980-pro-mz-v8p2t0bw-2000-gb-101593237/?c=351010000
Жесткие диски и SSD,SSD Samsung 990 PRO MZ-V9P1T0BW 1000 Гб,65692.0,https://kaspi.kz/shop/p/ssd-samsung-990-pro-mz-v9p1t0bw-1000-gb-123239090/?c=351010000
Жесткие диски и SSD,Kingston А2000 SA2000M8/1000G 1000Gb,39000.0,https://kaspi.kz/shop/p/kingston-a2000-sa2000m8-1000g-1000gb-101078454/?c=351010000
Жесткие диски и SSD,SSD Netac NV2000 512 Гб,16990.0,https://kaspi.kz/shop/p/ssd-netac-nv2000-512-gb-119800293/?c=351010000
Жесткие диски и SSD,SSD Whalekom WKMS-256 256 ГБ,13990.0,https://kaspi.kz/shop/p/ssd-whalekom-wkms-256-256-gb-108146543/?c=351010000
Жесткие диски и SSD,SSD Samsung 980 Pro MZ-V8P1T0BW 1000 ГБ,69999.0,https://kaspi.kz/shop/p/ssd-samsung-980-pro-mz-v8p1t0bw-1000-gb-100891747/?c=351010000
Жесткие диски и SSD,Team Group MP33 TM8FP6512G0C101 512 Gb,18185.0,https://kaspi.kz/shop/p/team-group-mp33-tm8fp6512g0c101-512-gb-101078854/?c=351010000
Жесткие диски и SSD,SSD Samsung MZ-V8V1T0BW 1000 Гб,51985.0,https://kaspi.kz/shop/p/ssd-samsung-mz-v8v1t0bw-1000-gb-101507567/?c=351010000
Жесткие диски и SSD,SSD GIGABYTE G325E500G 500 Гб,19968.0,https://kaspi.kz/shop/p/ssd-gigabyte-g325e500g-500-gb-110872698/?c=351010000
Жесткие диски и SSD,HDD Western Digital Purple WD42PURZ 4000 ГБ,47500.0,https://kaspi.kz/shop/p/hdd-western-digital-purple-wd42purz-4000-gb-103650247/?c=351010000
Жесткие диски и SSD,SSD Kingston SFYRDK/2000G 2000 ГБ,104990.0,https://kaspi.kz/shop/p/ssd-kingston-sfyrdk-2000g-2000-gb-109097710/?c=351010000
Жесткие диски и SSD,HDD Seagate ST8000DM004 8000 Гб,129990.0,https://kaspi.kz/shop/p/hdd-seagate-st8000dm004-8000-gb-6801389/?c=351010000
Жесткие диски и SSD,SSD Western Digital SN850X WDS100T2X0E 1000 ГБ,61576.0,https://kaspi.kz/shop/p/ssd-western-digital-sn850x-wds100t2x0e-1000-gb-108765528/?c=351010000
Жесткие диски и SSD,SSD KingSpec P3-128 128 Гб,6202.0,https://kaspi.kz/shop/p/ssd-kingspec-p3-128-128-gb-101599416/?c=351010000
Жесткие диски и SSD,HDD Western Digital Purple WD20PURZ 2000 Гб,31900.0,https://kaspi.kz/shop/p/hdd-western-digital-purple-wd20purz-2000-gb-6800681/?c=351010000
Жесткие диски и SSD,Apacer Panther AS350X 256Gb,11057.0,https://kaspi.kz/shop/p/apacer-panther-as350x-256gb-101079351/?c=351010000
Жесткие диски и SSD,SSD GIGABYTE GP-GSTFS31480GNTD 480 ГБ,18189.0,https://kaspi.kz/shop/p/ssd-gigabyte-gp-gstfs31480gntd-480-gb-6801232/?c=351010000
Жесткие диски и SSD,SSD Hiksemi HS-SSD-WAVE(S) 512 Гб,13990.0,https://kaspi.kz/shop/p/ssd-hiksemi-hs-ssd-wave-s-512-gb-132114240/?c=351010000
Жесткие диски и SSD,SSD KingSpec P4-240 240 Гб,9999.0,https://kaspi.kz/shop/p/ssd-kingspec-p4-240-240-gb-100953491/?c=351010000
Жесткие диски и SSD,HDD KESU 32G 320 Гб,8188.0,https://kaspi.kz/shop/p/hdd-kesu-32g-320-gb-134019460/?c=351010000
Жесткие диски и SSD,SSD Flyjie AK-800 128 ГБ,5650.0,https://kaspi.kz/shop/p/ssd-flyjie-ak-800-128-gb-108373957/?c=351010000
Жесткие диски и SSD,SSD BILLION RESERVOIR J11 128 Гб,5700.0,https://kaspi.kz/shop/p/ssd-billion-reservoir-j11-128-gb-120102704/?c=351010000
Жесткие диски и SSD,SSD Netac NT01N930E-512G-E4X 512 ГБ,15960.0,https://kaspi.kz/shop/p/ssd-netac-nt01n930e-512g-e4x-512-gb-107416653/?c=351010000
Жесткие диски и SSD,SSD AMD R5SL1024G 1000 Гб,27118.0,https://kaspi.kz/shop/p/ssd-amd-r5sl1024g-1000-gb-108162325/?c=351010000
Жесткие диски и SSD,Geil ZENITH R3 GZ25R3-512G 512Gb,17070.0,https://kaspi.kz/shop/p/geil-zenith-r3-gz25r3-512g-512gb-100415558/?c=351010000
Жесткие диски и SSD,SSD Samsung 870 EVO MZ-77E250BW 250 ГБ,25488.0,https://kaspi.kz/shop/p/ssd-samsung-870-evo-mz-77e250bw-250-gb-101134371/?c=351010000
Жесткие диски и SSD,SSD TXRUI NGFF 128 Гб,6100.0,https://kaspi.kz/shop/p/ssd-txrui-ngff-128-gb-124113653/?c=351010000
Жесткие диски и SSD,SSD 06980689 480 Гб,13590.0,https://kaspi.kz/shop/p/ssd-06980689-480-gb-121158511/?c=351010000
Жесткие диски и SSD,HDD Toshiba HDWD110UZSVA 1000 Гб,29789.0,https://kaspi.kz/shop/p/hdd-toshiba-hdwd110uzsva-1000-gb-6800318/?c=351010000
Жесткие диски и SSD,Team Group MS30 256 Gb,10100.0,https://kaspi.kz/shop/p/team-group-ms30-256-gb-6801236/?c=351010000
Жесткие диски и SSD,SSD GIGABYTE G325E1TB 1000 ГБ,33990.0,https://kaspi.kz/shop/p/ssd-gigabyte-g325e1tb-1000-gb-110872667/?c=351010000
Жесткие диски и SSD,SSD Patriot P320 P320P512GM28 512 Гб,17482.0,https://kaspi.kz/shop/p/ssd-patriot-p320-p320p512gm28-512-gb-129950898/?c=351010000
Жесткие диски и SSD,SSD Netac NT01SA500-120G-S3X 120 Гб,5990.0,https://kaspi.kz/shop/p/ssd-netac-nt01sa500-120g-s3x-120-gb-107416663/?c=351010000
Жесткие диски и SSD,Transcend TS1TSSD220Q 1TB,43431.0,https://kaspi.kz/shop/p/transcend-ts1tssd220q-1tb-100916682/?c=351010000
Жесткие диски и SSD,SSD ADATA ALEG-800-2000GCS 2000 Гб,67990.0,https://kaspi.kz/shop/p/ssd-adata-aleg-800-2000gcs-2000-gb-115769128/?c=351010000
Жесткие диски и SSD,Kingston А2000 SA2000M8/500G 500Gb,18799.0,https://kaspi.kz/shop/p/kingston-a2000-sa2000m8-500g-500gb-100066566/?c=351010000
Жесткие диски и SSD,Team Group GX2 T253X2512G0C101 512Gb,16528.0,https://kaspi.kz/shop/p/team-group-gx2-t253x2512g0c101-512gb-6801398/?c=351010000
Жесткие диски и SSD,SSD ADATA Ultimate ASU650SS-240GT-R 240 ГБ,11490.0,https://kaspi.kz/shop/p/ssd-adata-ultimate-asu650ss-240gt-r-240-gb-6800869/?c=351010000
Жесткие диски и SSD,ADATA SU650 ASU650SS-512GT-R 512GB,19280.0,https://kaspi.kz/shop/p/adata-su650-asu650ss-512gt-r-512gb-101416228/?c=351010000
Жесткие диски и SSD,SSD Dahua DHI-SSD-C800AS240G 240 Гб,10490.0,https://kaspi.kz/shop/p/ssd-dahua-dhi-ssd-c800as240g-240-gb-105710769/?c=351010000
Жесткие диски и SSD,SSD Kimtigo KTA-320-512G 512 Гб,14321.0,https://kaspi.kz/shop/p/ssd-kimtigo-kta-320-512g-512-gb-101086643/?c=351010000
Жесткие диски и SSD,SSD Seagate ZP500CV3A002 500 Гб,21189.0,https://kaspi.kz/shop/p/ssd-seagate-zp500cv3a002-500-gb-113680617/?c=351010000
Жесткие диски и SSD,SSD Netac N600S NT01N600S-128G-S3X 128 Гб,7200.0,https://kaspi.kz/shop/p/ssd-netac-n600s-nt01n600s-128g-s3x-128-gb-100567901/?c=351010000
Жесткие диски и SSD,SSD Patriot VP4000M1TBM23 1000 Гб,41734.0,https://kaspi.kz/shop/p/ssd-patriot-vp4000m1tbm23-1000-gb-122723374/?c=351010000
